sersic_n,sersic_r_eff,sersic_amplitude,sersic_total_flux_99,sersic_r_99,sersic_r_20,sersic_r_80,sersic_c2080,corr_eta,corr_epsilon,corr_r_petrosian,corr_r_half_light,corr_r_total_flux,corr_total_flux,corr_r_20,corr_r_80,corr_c2080,uncorr_eta,uncorr_epsilon,uncorr_r_petrosian,uncorr_r_half_light,uncorr_r_total_flux,uncorr_total_flux,uncorr_r_20,uncorr_r_80,uncorr_c2080
4.15,50,1,57679.21409379788,1005.2521441260318,13.515870872736734,155.9475381341777,5.310672445880091,0.2,11.261953936449574,89.2609,49.0896181809311,1005.2521441260319,57102.42166332624,13.516244865924703,155.9471421113524,5.310606846238927,0.2,2,89.2609,35.662915531919104,178.5218,47294.53097895326,10.939272007628135,88.8265915064247,4.547772880917722
4.2,50,1,58013.980920527494,1025.154350498269,13.419211344305662,157.03004607423875,5.341278826491701,0.2,11.561091456436122,88.6728,49.08485847755491,1025.154350498269,57433.83942205247,13.419123841165103,157.02956397286377,5.341286319442043,0.2,2,88.6728,35.396984324069244,177.3456,47403.314424112476,10.807621535565865,88.35658055540932,4.562543860387906
4.25,50,1,58346.83257851767,1045.3345412150056,13.32378207402326,158.11379177190287,5.371711165248813,0.2,11.867500507641651,88.0838,49.078618464532674,1045.3345412150056,57763.36368936855,13.324321373299327,158.11348836469372,5.371619106674332,0.2,2,88.0838,35.1315598277534,176.1676,47509.2288195097,10.67825478259151,87.88098326770081,4.5769731427332
4.3,50,1,58677.80146848594,1065.795659250991,13.229557741869492,159.1988049543633,5.401972385831108,0.2,12.181329268122813,87.4942,49.07362119724184,1065.795659250991,58091.0219088813,13.22910372123965,159.1983112793782,5.402040175383222,0.2,2,87.4942,34.86657689300594,174.9884,47612.608561796806,10.550880261774584,87.40209379773039,4.591165711371504
4.35,50,1,59006.91909056987,1086.5406710434984,13.136513779954024,160.28511457617435,5.432065331317492,0.2,12.502740616028895,86.9042,49.06887517268086,1086.5406710434984,58416.8488969955,13.136323233692162,160.28564096336783,5.432103960190978,0.2,2,86.9042,34.602470210427185,173.8084,47712.741886686126,10.424381301380016,86.91933199172816,4.605330456959878
4.4,50,1,59334.21607887243,1107.572566689808,13.04462634300878,161.3727488504406,5.461992767248768,0.2,12.831944021514637,86.3137,49.06336519347346,1107.572566689808,58740.87255065397,13.044550826215081,161.37253598600662,5.462002473821206,0.2,2,86.3137,34.338467600133605,172.6274,47810.30738584835,10.298857705482956,86.43369366828018,4.619470074244788
4.45,50,1,59659.722234327295,1128.8943601437045,12.95387228031756,162.46173527843817,5.491757384543057,0.2,13.169079981285144,85.7231,49.05863167322311,1128.8943601437045,59063.123826723786,12.953491191896397,162.46208946386963,5.4918260018267855,0.2,2,85.7231,34.07587586126294,171.4462,47905.34096596741,10.176172693332804,85.94376130158874,4.633149440116804
4.5,50,1,59983.466555984036,1150.5090894111704,12.86422910900066,163.55210067777614,5.521361802272499,0.2,13.514350463644515,85.1324,49.05371597441382,1150.5090894111704,59383.630618819596,12.863800617046453,163.55165572855464,5.521428225028933,0.2,2,85.1324,33.814223315350894,170.2648,47997.817566481855,10.054892092310821,85.45101935445126,4.646699168315445
4.55,50,1,60305.477270803116,1172.4198167452666,12.775674988575336,164.64387120916345,5.550808570309075,0.2,13.867914214670675,84.5419,49.048664652648135,1172.4198167452666,59702.42129122914,12.774981305110314,164.64331947145982,5.550919201567847,0.2,2,84.5419,33.55347163209673,169.0838,48087.76147159328,9.934529640091384,84.95477696397757,4.660202471046695
4.6,50,1,60625.781862047465,1194.6296288404674,12.68818869672106,165.737072401883,5.580100171847003,0.2,14.229997425185582,83.9515,49.04434100426886,1194.6296288404674,60019.52274785769,12.688795931703432,165.73750764989362,5.580001953956169,0.2,2,83.9515,33.29345522408408,167.903,48175.05093766103,9.816183999172488,84.45633797607348,4.673447780439258
4.65,50,1,60944.4070963496,1217.1416370264074,12.6017496061799,166.8317291780361,5.609239025808767,0.2,14.600747070910437,83.3616,49.03916527015691,1217.1416370264074,60334.961932619335,12.60239164630326,166.83120541757927,5.6091215781376125,0.2,2,83.3616,33.033624104656404,166.7232,48259.386385509395,9.699361129712159,83.95474503564523,4.686510588105195
4.7,50,1,61261.3790495293,1239.95897746134,12.516337662730498,167.92786587563472,5.638227489141011,0.2,14.980397712047177,82.7721,49.03304736190169,1239.95897746134,60648.76384353238,12.516940039053203,167.92818680329003,5.638127134668568,0.2,2,82.7721,32.77629305934195,165.5442,48342.36930250393,9.582888253754628,83.45213132985543,4.699705044904968
4.75,50,1,61576.723131230676,1263.084811325051,12.43193336417437,169.02550627059998,5.667067859006596,0.2,15.36913640896255,82.1832,49.02813464925417,1263.084811325051,60960.95508853234,12.432267474666906,169.02499266446915,5.667002902757696,0.2,2,82.1832,32.519136480239034,164.3664,48422.411317032565,9.469880055505108,82.94545384474053,4.712240547335911
4.8,50,1,61890.464108444685,1286.5223250118208,12.348517740280867,170.1246735977384,5.695762374878298,0.2,15.767171089059634,81.595,49.02411519443329,1286.5223250118208,61271.55790939043,12.347998300847262,170.1251861449699,5.695860261762952,0.2,2,81.595,32.262255452709844,163.19,48500.121028872614,9.357456227984953,82.43892267522664,4.724872517268643
4.8500000000000005,50,1,62202.626127977186,1310.2747303229062,12.266072333637275,171.2253905707487,5.724313220539638,0.2,16.174693644220316,81.0077,49.01864547400016,1310.2747303229062,61580.59958102082,12.266606192821973,171.2257619219285,5.724223422539128,0.2,2,81.0077,32.00727273287472,162.0154,48575.5551670021,9.2463102492279,81.92945644557696,4.737358059911197
