sersic_n,sersic_r_eff,sersic_amplitude,sersic_total_flux_99,sersic_r_99,sersic_r_20,sersic_r_80,sersic_r_50,sersic_r_90,sersic_c2080,sersic_c5090,sersic_petro_0502,corr_eta,corr_epsilon,corr_r_petrosian,corr_r_half_light,corr_r_total_flux,corr_total_flux,corr_r_20,corr_r_80,corr_r_50,corr_r_90,corr_c2080,corr_c5090,uncorr_eta,uncorr_epsilon,uncorr_r_petrosian,uncorr_r_half_light,uncorr_r_total_flux,uncorr_total_flux,uncorr_r_20,uncorr_r_80,uncorr_r_50,uncorr_r_90,uncorr_c2080,uncorr_c5090
0.23,50,1,17964.671384867328,95.27603264141472,30.654656987925726,67.73257955282403,49.71394805105661,76.05323926113142,1.7215057741369375,0.9231973105073756,0.3946991169607076,0.2,1.100047945999976,86.6108,49.71394805105661,95.27603264141472,17785.024671018655,30.654656987925726,67.73257955282403,49.71394805105661,76.05323926113142,1.7215057741369375,0.9231973105073756,0.2,2,86.6108,49.71394805105661,173.2216,17785.024671018655,30.654656987925726,67.73257955282403,49.71394805105661,76.05323926113142,1.7215057741369375,0.9231973105073756
0.24,50,1,18142.739258968177,96.49232980708382,30.571613887392413,68.02357030137735,49.711140460895685,76.56425090064108,1.7367052838650465,0.9378615551960385,0.4109255799882954,0.2,1.1071017307393023,87.1576,49.711140460895685,96.49232980708382,17961.311866378495,30.571613887392413,68.02357030137735,49.711140460895685,76.56425090064108,1.7367052838650465,0.9378615551960385,0.2,2,87.1576,49.711140460895685,174.3152,17961.311866378495,30.571613887392413,68.02357030137735,49.711140460895685,76.56425090064108,1.7367052838650465,0.9378615551960385
0.25,50,1,18321.568667379608,97.71041704871257,30.486747021661987,68.3139938567868,49.70832035485226,77.07419542655056,1.7519929466186928,0.9523995563873201,0.4270889638995909,0.2,1.1142404250392572,87.6924,49.70832035485226,97.71041704871257,18138.35298070581,30.486747021661987,68.3139938567868,49.70832035485226,77.07419542655056,1.7519929466186928,0.9523995563873201,0.2,2,87.6924,49.70832035485226,175.3848,18138.35298070581,30.486747021661987,68.3139938567868,49.70832035485226,77.07419542655056,1.7519929466186928,0.9523995563873201
0.26,50,1,18500.89319037358,98.93029711712362,30.400307141002124,68.60372424472837,49.70549199924598,77.58297326362356,1.7673486059924584,0.9668102120570838,0.4431904076620016,0.2,1.1214641577722189,88.2153,49.70549199924598,98.93029711712362,18315.884258469843,30.400307141002124,68.60372424472837,49.70549199924598,77.58297326362356,1.7673486059924584,0.9668102120570838,0.2,2,88.2153,49.70549199924598,176.4306,18315.884258469843,30.400307141002124,68.60372424472837,49.70549199924598,77.58297326362356,1.7673486059924584,0.9668102120570838
0.27,50,1,18680.486802686217,100.15198963387118,30.312520905252917,68.89266112520717,49.70265901641014,78.09051058451799,1.7827545258057174,0.981093194842805,0.45923397749235545,0.2,1.1287669199968802,88.7269,49.70265901641014,100.15198963387118,18493.681934659355,30.312520905252917,68.89266112520717,49.70265901641014,78.09051058451799,1.7827545258057174,0.981093194842805,0.2,2,88.7269,49.70265901641014,177.4538,18493.681934659355,30.312520905252917,68.89266112520717,49.70265901641014,78.09051058451799,1.7827545258057174,0.981093194842805
0.28,50,1,18860.157625926942,101.37552716573911,30.223592692744845,69.18072508532418,49.69982448387364,78.59675426960192,1.7981951084713184,0.9952487838830316,0.47522252125698483,0.2,1.1361479452022485,89.2274,49.69982448387364,101.37552716573911,18671.556049667674,30.223592692744845,69.18072508532418,49.69982448387364,78.59675426960192,1.7981951084713184,0.9952487838830316,0.2,2,89.2274,49.69982448387364,178.4548,18671.556049667674,30.223592692744845,69.18072508532418,49.69982448387364,78.59675426960192,1.7981951084713184,0.9952487838830316
0.29,50,1,19039.742705968514,102.60095214736825,30.133706434527337,69.4678538506822,49.69699101736035,79.10166788610756,1.8136566445627094,1.0092777317925472,0.4911495073713357,0.2,1.1436065867936762,89.717,49.69699101736035,102.60095214736825,18849.34527890883,30.133706434527337,69.4678538506822,49.69699101736035,79.10166788610756,1.8136566445627094,1.0092777317925472,0.2,2,89.717,49.69699101736035,179.434,18849.34527890883,30.133706434527337,69.4678538506822,49.69699101736035,79.10166788610756,1.8136566445627094,1.0092777317925472
0.3,50,1,19219.103641371123,103.828314462001,30.043027407788347,69.75399922169011,49.69416084032883,79.60522846555806,1.829127090880902,1.0231811590577404,0.507024408636252,0.2,1.1511384566312217,90.1962,49.69416084032883,103.828314462001,19026.91260495741,30.043027407788347,69.75399922169011,49.69416084032883,79.60522846555806,1.829127090880902,1.0231811590577404,0.2,2,90.1962,49.69416084032883,180.3924,19026.91260495741,30.043027407788347,69.75399922169011,49.69416084032883,79.60522846555806,1.829127090880902,1.0231811590577404
0.31,50,1,19398.122917643457,105.05766953530993,29.95170394729837,70.03912458491742,49.691335842332755,80.10742390984937,1.8445958742815223,1.0369604699397421,0.5228460486041298,0.2,1.1587430407180477,90.6652,49.691335842332755,105.05766953530994,19204.14168846702,29.95170394729837,70.03912458491742,49.691335842332755,80.10742390984937,1.8445958742815223,1.0369604699397421,0.2,2,90.6652,49.691335842332755,181.3304,19204.14168846702,29.95170394729837,70.03912458491742,49.691335842332755,80.10742390984937,1.8445958742815223,1.0369604699397421
0.32,50,1,19576.70082696596,106.28907683101605,29.85986905111287,70.32320288297498,49.68851762809811,80.60825089505279,1.8600537185961619,1.0506172853286888,0.5386122988118601,0.2,1.1664185824309876,91.1243,49.68851762809811,106.28907683101605,19380.9338186963,29.85986905111287,70.32320288297498,49.68851762809811,80.60825089505279,1.8600537185961619,1.0506172853286888,0.2,2,91.1243,49.68851762809811,182.2486,19380.9338186963,29.85986905111287,70.32320288297498,49.68851762809811,80.60825089505279,1.8600537185961619,1.0506172853286888
