sersic_n,sersic_r_eff,sersic_amplitude,sersic_total_flux_99,sersic_r_99,sersic_r_20,sersic_r_80,sersic_r_50,sersic_r_90,sersic_c2080,sersic_c5090,sersic_petro_0502,corr_eta,corr_epsilon,corr_r_petrosian,corr_r_half_light,corr_r_total_flux,corr_total_flux,corr_r_20,corr_r_80,corr_r_50,corr_r_90,corr_c2080,corr_c5090,uncorr_eta,uncorr_epsilon,uncorr_r_petrosian,uncorr_r_half_light,uncorr_r_total_flux,uncorr_total_flux,uncorr_r_20,uncorr_r_80,uncorr_r_50,uncorr_r_90,uncorr_c2080,uncorr_c5090
10.5,50,1,90817.02293955174,7031.415556890849,6.630613054119223,309.20483787786463,48.57461450249397,758.3078853052319,8.343462980172877,5.9671810470188,12.428997394664869,0.2,229.74352834918068,30.6055,48.57447158140104,7031.415556890849,89908.8499388348,6.630834231453209,309.20434286026284,48.57447158140104,758.3078957033224,8.343387071189914,5.967187465927402,0.2,2,30.6055,11.567016575808221,61.211,48592.39266454504,2.484886264661232,32.81708679217757,11.567016575808221,44.9321589045348,5.603967550718425,2.946679640895813
11.0,50,1,92926.14383268947,7959.966506917491,6.336365999567896,322.97117103161855,48.54201413907872,809.9810634712732,8.536617516333164,6.111785366087604,12.966578569392208,0.2,285.9809982401852,27.8339,48.54202983747946,7959.966506917492,91996.8816479902,6.336788962185711,322.97054082115517,48.54202983747946,809.9806521212492,8.53646833471936,6.111783561051815,0.2,2,27.8339,10.495333325352767,55.6678,48151.93192590129,2.216612999814378,29.921549789771188,10.495333325352767,40.942135064480766,5.651471040904331,2.955871252952147
11.5,50,1,94988.46455232111,8986.547804974136,6.061254710627768,337.0244697505534,48.5101582956365,863.9121103337326,8.725494497185064,6.253184351002691,13.502771769071021,0.2,355.31046472907093,25.2921,48.509346806857984,8986.547804974136,94038.57780951711,6.05985137188052,337.0253545215425,48.509346806857984,863.9113655570096,8.726003008596539,6.253218804160316,0.2,2,25.2921,9.517657953670074,50.5842,47676.730143219684,1.9773281538146232,27.25336325755543,9.517657953670074,37.2675709370652,5.696706774514877,2.964004968813488
12.0,50,1,97006.96765029438,10119.590918332178,5.803538671576005,351.3711321883764,48.478999512105524,920.174290126578,8.910365976720762,6.39158223169365,14.041953345586132,0.2,440.66044774706194,22.9646,48.479775589559836,10119.590918332178,96036.89529741148,5.803935116180204,351.3713388813316,48.479775589559836,920.1735763334666,8.910218924043075,6.391545785448898,0.2,2,22.9646,8.628314229000134,45.9292,47171.36407440401,1.7653369455124557,24.799204453217975,8.628314229000134,33.89594886214852,5.7380506936719975,2.9711092138856166
12.5,50,1,98984.33184178142,11368.13055448952,5.561685921480175,366.0173987564832,48.44849516339232,978.8424089889172,9.091476351968494,6.527162425034811,14.578531667425406,0.2,545.5847189315685,20.8366,48.44919203798058,11368.130554489522,97994.48606406683,5.561546693096727,366.01651521489003,48.44919203798058,978.8426123885002,9.0915254703759,6.527131642407577,0.2,2,20.8366,7.814019773811765,41.6732,46640.12894174603,1.576133796413618,22.54575160975764,7.814019773811765,30.799008238321875,5.777358182289321,2.9783111303640384
13.0,50,1,100922.97363559146,12741.841331312085,5.334341884036541,380.96938387681416,48.418606796909756,1039.99288141348,9.269046144388161,6.660090388953243,15.105188070966147,0.2,674.4070062197427,18.8934,48.41857427869948,12741.841331312087,99913.74164958914,5.335742956105829,380.97016227654177,48.41857427869948,1039.9938720744826,9.268480315892333,6.660093915794904,0.2,2,18.8934,7.073785382111316,37.7868,46086.61210046494,1.4067360312163055,20.48101519797144,7.073785382111316,27.96711742693152,5.815694342523605,2.984979133399777
13.5,50,1,102825.08190808257,14251.076368798354,5.120303761956868,396.23310214857185,48.38929958240305,1103.703791167594,9.443275141698917,6.790515992172983,15.648639714619613,0.2,832.3692034272539,17.1211,48.38923243822163,14251.076368798354,101796.82878380861,5.12105364535016,396.23388830896863,48.38923243822163,1103.7052729451054,9.442961454910456,6.79052192058211,0.2,2,17.1211,6.4012920566877005,34.2422,45514.14242822194,1.2531818389758347,18.590713536756038,6.4012920566877005,25.375977116845,5.85640983206103,2.9907756591314003
14.0,50,1,104692.64682927109,15906.907891938656,4.918499347493052,411.8144900849374,48.36054185164507,1170.0549480020584,9.614345027529149,6.91857549643202,16.18134236656225,0.2,1025.828554141429,15.5064,48.361127991031005,15906.907891938656,103645.71785410779,4.918585390216173,411.81517525909476,48.361127991031005,1170.0531244947585,9.614310653665358,6.9185457937149355,0.2,2,15.5064,5.787273108388682,31.0128,44925.64445023585,1.1216451760443182,16.868139447706547,5.787273108388682,23.0101286663347,5.886058448815003,2.9972253470216215
14.5,50,1,106527.4842291117,17721.1699375712,4.727969368033639,427.71942430588297,48.332304710693464,1239.1279411492521,9.782421597346882,7.044393225926717,16.7054252202443,0.2,1262.4883297050733,14.0367,48.33251750029338,17721.1699375712,105462.20690477487,4.728224641395766,427.7194697828892,48.33251750029338,1239.1291575610057,9.782304588868186,7.044385797405743,0.2,2,14.0367,5.230212466298946,28.0734,44323.70675428368,0.9997851555764187,15.291421435512259,5.230212466298946,20.851901957516716,5.922705867566185,3.003131713771144
15.0,50,1,108331.25625264373,19706.5032617583,4.547852684149665,443.953736873068,48.304561711202545,1311.0061903810158,9.947656637521014,7.168082982271215,17.252990232049704,0.2,1551.6687344890865,12.7002,48.30666361565964,19706.5032617583,107247.9419958178,4.549836085895694,443.9533369404821,48.30666361565964,1311.0049749470484,9.946707868971746,7.1679864826131965,0.2,2,12.7002,4.725693080296023,25.4004,43710.69527124796,0.8929124331093631,13.856729328005418,4.725693080296023,18.8844357063738,5.954259317448768,3.008192499733189
